anchor	index	weight
1	0	23/50
5	2	269/1000
6	2	37/1000
6	3	57/200
6	4	47/200
9	1	177/500
9	5	179/500
9	8	281/1000
11	1	411/1000
11	4	11/40
11	8	43/100
11	10	299/1000
13	1	24/125
13	3	303/1000
13	4	48/125
13	6	109/1000
13	8	369/1000
13	9	257/1000
13	11	83/1000
14	2	0
14	4	0
14	6	9/500
14	8	341/1000
14	9	9/125
14	12	197/1000
14	13	0
