anchor	index	weight
1	0	277/1000
5	1	0
7	2	79/1000
7	6	191/1000
9	1	191/1000
9	3	31/250
9	6	191/1000
9	7	409/1000
9	8	113/500
11	1	267/1000
11	4	38/125
11	7	21/50
11	8	54/125
11	9	7/50
12	2	369/1000
12	3	39/125
12	6	0
12	9	99/1000
12	10	173/1000
13	2	0
13	3	147/250
13	4	113/250
13	6	49/500
13	8	23/250
13	9	17/40
13	12	169/1000
