anchor	index	weight
1	0	347/1000
9	1	89/1000
9	3	0
9	5	39/125
9	6	323/1000
9	8	67/250
11	1	357/1000
11	4	191/1000
11	8	23/50
11	9	3/25
12	2	71/250
12	3	33/200
12	5	0
12	6	0
12	9	77/200
12	10	27/100
13	2	0
13	3	449/1000
13	4	41/100
13	6	24/125
13	8	21/125
13	9	373/1000
13	11	113/1000
14	2	0
14	4	23/200
14	6	99/500
14	8	123/500
14	9	28/125
14	12	13/1000
14	13	0
