5041,1053617,720720,3249792,913005835015,680
1053617,2102193,1441440,6604416,2721630200215,0
2102193,3150769,2162160,9999360,4530253981102,0
3150769,4199345,3603600,16790592,6338878506550,0
4199345,5247921,4324320,20321280,8147502439703,0
5247921,6296497,5765760,26732160,9956127778324,0
6296497,7345073,7207200,34122816,11764748872083,0
7345073,8393649,7539840,34369920,13573373599891,0
8393649,9442225,8648640,40965120,15382003960205,0
9442225,10490801,10090080,47056464,17190620487432,0
10490801,11539377,10810800,51663360,18999247626742,0
11539377,12587953,12252240,58496256,20807872753827,0
12587953,13636529,12972960,61471872,22616490859322,0
13636529,14685105,14414400,68787264,24425120877640,0
14685105,15733681,15135120,71245440,26233752344077,0
15733681,16782257,16576560,77995008,28042361266302,0
16782257,17830833,17297280,82252800,29850989283455,0
17830833,18879409,18378360,87091200,31659625771368,0
18879409,19927985,19459440,90994176,33468228760213,0
19927985,20976561,20540520,96768000,35276868909604,0
20976561,22025137,21621600,104993280,37085498671197,0
22025137,23073713,22619520,105753600,38894099214934,0
23073713,24122289,23783760,110826240,40702743924604,0
24122289,25170865,24504480,118879488,42511360952667,0
25170865,26219441,25945920,123919488,44319988898332,0
26219441,27268017,27027000,125798400,46128589946603,0
27268017,28316593,27387360,132088320,47937251868658,0
28316593,29365169,28828800,138116160,49745849022554,0
29365169,30413745,30270240,144789120,51554469517428,0
30413745,31462321,30630600,146240640,53363133489982,0
31462321,32510897,32432400,156281664,55171710959051,0
32510897,33559473,33153120,158505984,56980360247309,0
33559473,34608049,34594560,164828160,58788980248584,0
34608049,35656625,34927200,161638092,60597591734054,0
35656625,36705201,36036000,171714816,62406234585922,0
36705201,37753777,36756720,179988480,64214863564797,0
37753777,38802353,37837800,178113600,66023466146845,0
38802353,39850929,38918880,184923648,67832083921238,0
39850929,40899505,40360320,190466640,69640741171688,0
40899505,41948081,41081040,199987200,71449330997092,0
41948081,42996657,42411600,200933568,73257965850714,0
42996657,44045233,43243200,211653120,75066633759119,0
44045233,45093809,44684640,211341312,76875188088719,0
45093809,46142385,45405360,215517456,78683846985286,0
46142385,47190961,47124000,220776192,80492487233773,0
47190961,48239537,47567520,225227520,82301082798342,0
48239537,49288113,49008960,239645952,84109697225674,0
49288113,50336689,49729680,239984640,85918358205104,0
50336689,51385265,50450400,243125064,87726950676514,0
51385265,52433841,51891840,248814720,89535595152145,0
52433841,53482417,53333280,250967808,91344233839899,0
53482417,54530993,54054000,259983360,93152805347293,0
54530993,55579569,54774720,266273280,94961470427367,0
55579569,56628145,56548800,272125440,96770099368930,0
56628145,57676721,57657600,276773952,98578711379822,0
57676721,58725297,58378320,273232512,100387314750159,0
58725297,59773873,59099040,277385472,102195987650310,0
59773873,60822449,60540480,291876480,104004535798277,0
60822449,61871025,61261200,302230656,105813194617784,0
61871025,62919601,62702640,299980800,107621882070282,0
62919601,63968177,63201600,302361600,109430425522865,0
63968177,65016753,64864800,317604672,111239063208203,0
65016753,66065329,65031120,308551680,113047743628795,0
66065329,67113905,66306240,319527936,114856317462015,0
67113905,68162481,67858560,319904640,116664936939139,0
68162481,69211057,68468400,335811840,118473590785276,0
69211057,70259633,69854400,325841868,120282175659128,0
70259633,71308209,70686000,334264320,122090807706008,0
71308209,72356785,72072000,346155264,123899478278785,0
72356785,73405361,72681840,342835200,125708092052097,0
73405361,74453937,73513440,365783040,127516641496112,0
74453937,75502513,74692800,352755200,129325363555258,0
75502513,76551089,75675600,368101440,131133904370970,0
76551089,77599665,76854960,359976960,132942564352188,0
77599665,78648241,77837760,372782592,134751268687923,0
78648241,79696817,79279200,378194544,136559769770957,0
79696817,80745393,79999920,379975680,138368442293093,0
80745393,81793969,81081000,380540160,140177060108173,0
81793969,82842545,82162080,406425600,141985671238163,0
82842545,83891121,82882800,402974208,143794330346153,0
83891121,84939697,84823200,408348864,145602963876387,0
84939697,85988273,85765680,416785824,147411512671632,0
85988273,87036849,86486400,424972800,149220178108511,0
87036849,88085425,87650640,411402240,151028847946220,0
88085425,89134001,88648560,419973120,152837437982491,0
89134001,90182577,89535600,431758080,154646048507551,0
90182577,91231153,90810720,437987088,156454694059349,0
91231153,92279729,91891800,449971200,158263267254332,0
92279729,93328305,92972880,439971840,160071921110067,0
93328305,94376881,93693600,446033952,161880649956976,0
94376881,95425457,94802400,453720960,163689129727298,0
95425457,96474033,95855760,463095360,165497763381012,0
96474033,97522609,97297200,470136576,167306466798078,0
97522609,98571185,98017920,481178880,169114993649819,0
98571185,99619761,99459360,487710720,170923712822833,0
99619761,100668337,100245600,476407008,172732293766074,0
100668337,101716913,100900800,490109256,174540903213881,0
101716913,102765489,102702600,499968000,176349535562765,0
102765489,103814065,103783680,498605184,178158222837867,0
103814065,104862641,104504400,503717760,179966784011580,0
104862641,105911217,105814800,503717760,181775381583334,0
105911217,106959793,106666560,505919232,183584084651912,0
106959793,108008369,107442720,522547200,185392624652686,0
108008369,109056945,108108000,528353280,187201267451537,0
109056945,110105521,109549440,534643200,189010026264163,0
110105521,111154097,110270160,544465152,190818468257007,0
111154097,112202673,111711600,537298944,192627157939651,0
112202673,113251249,113097600,546393600,194435850581049,0
113251249,114299825,113513400,538793640,196244379599983,0
114299825,115348401,115315200,554089536,198053019034040,0
115348401,116396977,116396280,566092800,199861699411032,0
116396977,117445553,116756640,555278976,201670263583114,0
117445553,118494129,118198080,559173888,203478886468040,0
118494129,119542705,118918800,572602240,205287558381160,0
119542705,120591281,120294720,559173888,207096147185406,0
120591281,121639857,121080960,586051200,208904762069603,0
121639857,122688433,122522400,614210688,210713435414301,0
122688433,123737009,123243120,604961280,212521977456282,0
123737009,124785585,124324200,599961600,214330696484802,0
124785585,125834161,125405280,609638400,216139328995075,0
125834161,126882737,126403200,607104000,217947840183252,0
126882737,127931313,126977760,609638400,219756515269972,0
127931313,128979889,128648520,620524800,221565173539517,0
128979889,130028465,129729600,640250688,223373741557436,0
130028465,131077041,130062240,627056640,225182392526201,0
131077041,132125617,131947200,630140472,226991118021382,0
132125617,133174193,132612480,641571840,228799581682249,0
133174193,134222769,134053920,650280960,230608249583179,0
134222769,135271345,134774640,648333504,232416920124217,0
135271345,136319921,136216080,648333504,234225511603812,0
136319921,137368497,136936800,682456320,236034112812725,0
137368497,138417073,138378240,660280320,237842835109255,0
138417073,139465649,139043520,648614400,239651348443631,0
139465649,140514225,139708800,654249420,241459996018395,0
140514225,141562801,140900760,679311360,243268754678071,0
141562801,142611377,142203600,671623680,245077147882877,0
